,Surface Displacement,Displacement Into Surface,Load On Sample,Modulus,Stiffness^2/Load,Hardness,Row Number,Contact Depth,Contact Area,Time,Unnamed: 10
44,16397.46550688565,971.6252182714202,49.77939085793003,246.61204039080528,24050.61951599734,2.4236616328196297,1.0,937.5041265283849,20538919.37053024,259.1460000005743,44.0
45,17694.850612733262,932.5031890929783,31.780898335442533,220.5162570848245,29466.673218376898,1.6460486171416258,1.0,907.8723734013015,19307387.403070923,263.78400000059645,45.0
46,18124.12617614089,996.0916892003196,26.941094482327372,153.49226568593835,21250.140652596823,1.2298333339641891,1.0,969.3869724184042,21906297.169134837,267.38400000061364,46.0
47,18205.50761091673,995.3616156218023,27.66782292856283,161.92376910988213,22705.49129361221,1.2635258923379435,1.0,969.1807919660339,21897313.775951315,270.59200000062896,47.0
48,17901.565526730086,988.3059872185676,27.265834031188238,162.5701390689327,22889.307892961773,1.262085984930798,1.0,962.4206202468748,21603784.810813237,273.3840000006423,48.0
51,17901.565526730086,1125.3310264098704,194.18011649121487,509.9502852710732,23086.42967138805,7.506549503327568,1.0,1056.5473705479583,25868092.44448958,280.64600000067696,51.0
52,18146.89457080667,825.0458700243998,30.61114236869693,295.53708921435356,38880.372921023234,2.002113023637764,1.0,804.0015052489584,15289417.73380887,283.93200000069265,52.0
53,15855.004822893061,963.7123604227578,56.29528990349616,419.6868836694993,48211.12196790122,2.737646331254125,2.0,938.0838317523333,20563390.260022048,296.4200000007523,53.0
54,15831.349618166347,808.1525241067174,32.4443665049365,226.5194847740465,22532.143528627752,2.2505331149893153,2.0,779.6928673260368,14416302.647957498,299.5460000007672,54.0
55,15397.021163175039,982.4043833450735,55.99965538510067,333.4618805975812,35493.497361365386,2.643803929349037,2.0,952.6137632489999,21181470.669380926,302.2420000007801,55.0
56,15391.48047626279,860.60787596702,28.435964264301443,168.65302309407195,17614.4246557805,1.7478367944763524,2.0,830.473582587052,16269233.119572122,305.31000000079473,56.0
58,15907.193611290359,945.5905351498244,55.969108614004945,383.78745197818927,40818.275133160176,2.8386884912822516,2.0,917.8184726366521,19716537.684881154,312.1940000008276,58.0
59,15807.556982248796,982.7850408008953,62.690004570950926,442.4019104193542,48389.429125732364,2.940736262450085,2.0,955.7899268606689,21317792.20443268,315.21600000084203,59.0
60,15349.998405759217,969.2985877219778,60.86638135331725,402.7520627334316,42248.46616450991,2.943309874450353,2.0,940.8314022107403,20679569.583098587,317.8520000008546,60.0
61,15283.685516249236,963.2428842289276,60.47704763046256,402.8364394045638,42008.523690802846,2.9610236102909884,2.0,934.7859674028119,20424371.970650822,320.860000000869,61.0
62,15262.977344142746,969.6622648944827,64.82840472262274,411.2512586365672,40797.34805100181,3.1417560456095432,2.0,939.7652406255845,20634448.945588056,323.8960000008835,62.0
63,15322.645808924322,969.6046106005246,65.67145947484411,368.0417368246451,33997.13796190403,3.203090252240707,2.0,936.6414824682132,20502531.71258723,327.18200000089917,63.0
64,15598.44455186839,960.7346644253944,59.90201041797123,323.21830026846146,30029.2159761929,2.9790238095798554,2.0,927.2373518510144,20107932.7480835,330.59200000091545,64.0
65,16951.150126614717,952.4751728331247,28.630700091298525,189.3216704686515,26392.643721799654,1.4222685917676259,2.0,927.7729633901151,20130304.681562066,335.1420000009372,65.0
66,17079.920218078707,935.7077629655386,32.24827867971942,203.7697567527486,25513.36044559003,1.6661179681505585,2.0,909.0434314551151,19355339.355421506,338.4200000009528,66.0
68,16749.489908979696,806.4731206457153,28.987963138499364,252.41136881236218,30371.101457802255,1.9930755510685445,2.0,783.3023839384256,14544337.329790682,343.40800000097664,68.0
69,16089.39863902796,834.219090201196,44.05354030472468,284.34939424335175,25360.080230266223,2.88847522267795,2.0,802.959998132087,15251486.30628791,345.90600000098857,69.0
70,17162.35573198466,913.2967672098667,60.233505560247,289.62111580606336,22490.75978090216,3.3528095336121195,2.0,874.4836727047278,17965084.194733538,350.27800000100945,70.0
71,17034.638379292017,957.4734867902371,65.32371402776603,411.9530512521117,39531.653302385894,3.250351494246437,2.0,926.9858186203811,20097430.737382673,353.37800000102425,71.0
72,18428.79061546544,859.0749511245342,30.548945223777892,249.49349203681024,32033.7948477267,1.8543341962744346,2.0,835.9140646244948,16474347.11884953,357.9920000010463,72.0
73,18643.221228203005,1001.5790731248865,25.896224294622296,153.80548630880122,22484.97171211311,1.1664468274301547,2.0,976.1264050120383,22200947.086182486,361.3260000010622,73.0
